id,width,height
751726-2,4608,3456
1537985-1,2112,2816
935569-2,4608,3456
787366-0,2736,3648
809419-1,2048,1536
654840-0,3000,4000
2101139-0,3648,2736
1331646-2,2304,1728
755581-2,4608,3456
619053-1,3456,4608
765328-0,2080,1560
1360703-1,3456,4608
745542-0,1500,2000
758124-1,2736,3648
885547-1,2048,1536
810166-0,1560,2080
876962-2,4096,3072
942321-1,2112,2816
816115-0,2080,1560
918659-0,2000,1500
895735-0,1560,2080
810509-1,2560,1920
669672-0,1224,1632
810604-2,2000,1496
1618407-0,1560,2080
735416-0,2016,1512
739228-2,2016,1512
566679-0,3456,4608
937009-2,3000,4000
612525-0,2000,1500
622068-0,2016,1512
865467-1,4608,3456
756323-2,2080,1560
1320007-0,2048,1536
1054118-1,2304,1728
811097-0,2016,1512
756136-0,2080,1560
756195-1,1560,2080
1322169-2,4608,3456
814245-0,2736,3648
523315-2,2000,1500
740308-2,3000,4000
561594-1,2304,1728
813906-0,4608,3456
1353169-0,2628,3504
715496-0,2016,1512
938379-0,3000,4000
779768-1,2040,1530
1206315-0,1560,2080
1144162-2,1560,2080
813913-1,3456,4608
2193471-2,3648,2736
860282-1,1296,1728
766958-2,4000,3000
2208179-2,2080,1560
937045-0,4608,3456
786072-0,2080,1560
2052521-0,4608,3456
1970898-0,2080,1560
1054361-1,1560,2080
854369-2,2304,1728
999155-2,2048,1536
864690-1,3504,2628
846452-1,2000,1500
813908-0,2736,3648
878831-1,4000,3000
660472-0,1560,2080
674281-1,1488,1984
756123-1,2016,1512
1127522-0,1224,1632
2052525-0,3000,4000
844355-2,3648,2736
1015498-0,1500,2000
2007824-0,3456,4608
1012610-2,2000,1500
889231-0,2736,3648
735459-0,1560,2080
849906-2,2112,2816
881407-1,2016,1512
890844-2,3648,2736
765471-0,3456,4608
766882-2,2304,1728
815772-0,2080,1560
756114-1,2080,1560
854371-1,4608,3456
1001319-0,1464,1952
813903-1,1500,2000
918234-0,2000,1500
622069-2,2016,1512
811359-2,2000,1500
776958-1,1728,2304
1943152-1,2048,1536
876962-0,3072,4096
895731-2,2080,1560
781937-2,3456,4608
755952-0,3456,4608
608736-2,2000,1500
868486-2,2000,1496
879458-0,2736,3648
1472172-2,1632,1224
785744-3,2000,1500
763444-0,2736,3648
815523-0,1488,1984
839368-1,1496,2000
868484-1,1496,2000
901826-0,2000,1500
864921-0,2000,1500
566679-2,4608,3456
806320-2,2816,2112
785550-0,3456,4608
1338912-0,1940,2592
566675-0,1560,2080
870374-2,2112,2816
876984-2,2000,1496
1187804-1,1560,2080
1331646-1,1728,2304
1122695-1,4096,3072
1077861-0,2080,1560
2085938-0,1500,2000
933453-0,3456,4608
747635-2,1632,1224
648024-2,4000,3000
923580-2,2080,1560
787373-2,2000,1500
870374-1,2112,2816
767674-2,2080,1560
2166762-0,1488,1984
1329720-0,1728,2304
566675-2,2080,1560
1298949-2,2000,1500
753073-0,2016,1512
2041605-2,2000,1500
939347-1,1500,2000
1002510-0,1224,1632
1265125-2,2000,1500
786066-1,2080,1560
910170-2,2080,1560
1184380-2,4608,3456
777534-0,2000,1500
1431127-0,2304,1728
756178-0,1728,2304
937054-0,1560,2080
866412-1,2736,3648
696732-2,2080,1560
777534-2,2000,1500
1002746-0,2000,1500
857391-1,2736,3648
690366-0,2016,1512
843407-0,1496,2000
849186-0,4000,3000
632079-0,1488,1984
762207-1,2016,1512
885208-1,1500,2000
864814-1,4608,3456
766955-0,3000,4000
770782-2,2304,1728
1027298-0,2000,1500
997367-1,2048,1536
942436-2,3456,4608
669681-1,1224,1632
1100772-2,960,720
1002510-1,1224,1632
759331-1,1500,2000
1077848-1,1224,1632
1353538-1,3456,4608
905738-1,2048,1536
777921-0,1560,2080
756209-2,1632,1224
739231-2,2080,1560
756272-0,1560,2080
879314-3,2080,1560
1537378-2,1500,2000
756197-0,2080,1560
766842-0,4608,3456
777270-0,2000,1500
669575-2,4000,3000
755962-1,2000,1500
860574-2,2000,1496
787793-0,3000,4000
851902-2,2592,1940
909581-0,2000,1500
2125789-0,1952,1464
745528-2,2000,1500
2039244-0,2304,1728
674249-2,4608,3456
755984-0,3456,4608
1353220-0,4000,3000
1022812-2,2000,1500
895133-2,1824,1368
1330694-0,2000,1500
779768-2,2040,1530
813837-1,2000,1500
868471-1,1500,2000
654847-2,2016,1512
755576-2,4608,3456
685988-0,2016,1512
807971-0,1728,2304
922364-2,2304,1728
781983-3,3456,4608
648058-0,2048,1536
1234176-1,3000,4000
868483-0,2736,3648
1908813-2,3000,4000
880179-1,4608,3456
756117-1,2080,1560
863321-0,1728,2304
766892-2,1536,2048
648060-1,3000,4000
809505-2,2000,1500
939062-0,1536,2048
927059-0,1560,2080
1353217-0,1536,2048
847865-0,1728,2304
513588-2,2048,1536
756211-2,1560,2080
885747-1,4000,3000
669682-0,2000,1500
648068-0,1632,1224
883771-2,3504,2628
902679-1,2048,1536
892135-2,2080,1560
755607-0,3000,4000
395086-2,4608,3456
839456-2,2080,1560
743822-2,2304,1728
918659-1,1500,2000
1240673-2,1560,2080
648057-1,1224,1632
844549-1,2080,1560
864130-1,1728,2304
811303-0,2000,1500
1970811-0,2000,1500
904539-1,1940,2592
514683-1,2736,3648
880900-2,4000,3000
935015-2,2304,1728
810536-1,1560,2080
2195904-1,1512,2016
940275-0,3456,4608
648024-1,3000,4000
756117-0,2080,1560
648065-0,1224,1632
869274-0,2000,1500
769919-1,2560,1920
755962-0,2000,1500
811273-0,3000,4000
2102618-0,1488,1984
728544-2,2000,1500
933199-2,1500,2000
1075898-1,1500,2000
758369-0,2304,1728
942313-2,2304,1728
1329797-0,1728,2304
879287-1,3648,2736
789097-1,1560,2080
807952-0,1224,1632
766892-4,1536,2048
576380-2,2000,1500
1390156-0,3456,4608
864511-2,2112,2816
805813-1,3456,4608
903708-2,2048,1536
942329-0,2000,1500
868471-2,2000,1500
1080058-1,2736,3648
877189-1,2736,3648
877737-2,2000,1500
1353800-0,2000,1500
1331366-1,1952,1464
509715-2,4000,3000
2248645-0,2080,1560
878497-1,1224,1632
121569-2,3648,2736
763299-2,2080,1560
1372076-1,1632,1224
868275-1,1952,1464
938982-0,2000,1500
566675-1,1560,2080
674255-0,1728,2304
1490932-1,1984,1488
897388-1,2016,1512
1330604-2,3648,2736
2094465-0,2048,1536
1311961-2,3504,2628
740314-2,1632,1224
1353225-1,1632,1224
805620-1,2736,3648
1377892-1,2000,1500
1077848-2,1224,1632
890844-0,2736,3648
1320007-1,2048,1536
744710-1,4608,3456
1011695-1,3456,4608
2102635-0,2000,1500
1936059-2,2000,1500
2181558-0,2016,1512
756271-0,1728,2304
2102603-0,2048,1536
844355-0,2736,3648
1353169-2,3504,2628
781008-0,1488,1984
807902-0,1728,2304
731640-0,4000,3000
895127-1,2048,1536
1305565-2,4000,3000
1982392-0,3000,4000
1699295-2,2080,1560
2208098-4,2080,1560
2241582-0,2080,1560
942299-0,2000,1500
706589-2,1984,1488
866412-2,3648,2736
546161-1,2736,3648
706596-2,1984,1488
883771-1,2628,3504
906683-0,1224,1632
1906427-2,1952,1464
883771-0,2628,3504
809418-1,3000,4000
879458-2,3648,2736
785846-1,1560,2080
864130-2,2304,1728
942283-1,2000,1500
787366-2,3648,2736
935120-2,4608,3456
972691-0,1728,2304
1194572-2,2080,1560
911407-2,2040,1530
756287-0,1536,2048
864160-2,4000,3000
910170-0,1560,2080
744691-0,2000,1500
1959784-0,2000,1500
868230-2,1560,2080
879314-1,2080,1560
623868-1,2080,1560
838408-1,2736,3648
769901-1,2080,1560
514734-1,1368,1824
785100-0,2736,3648
970880-0,1632,1224
644462-1,2736,3648
2251336-0,2736,3648
2192272-0,2736,3648
2135980-0,2048,1536
648048-2,2304,1728
1971561-2,1536,2048
844944-2,2048,1536
234065-2,1500,2000
811125-7,2080,1560
847770-0,2736,3648
553178-1,3456,4608
2191843-0,3648,2736
674245-2,4608,3456
756268-2,1560,2080
733471-0,1488,1984
868229-0,2112,2816
2192290-1,3456,4608
935636-2,2040,1530
2212903-0,1500,2000
929901-0,2560,1920
922950-0,3000,4000
920336-1,3000,4000
988705-1,2000,1500
910941-2,2048,1536
513617-0,2736,3648
2017821-1,3456,4608
906549-1,1560,2080
885747-0,4000,3000
1015439-0,4000,3000
943226-1,3000,4000
1227349-1,1224,1632
813914-0,1500,2000
990555-0,1224,1632
2209203-4,2080,1560
669622-1,1224,1632
756001-0,2000,1500
756285-1,1536,2048
1343564-0,1728,2304
844740-1,3000,4000
811359-1,2000,1500
870374-3,2112,2816
705559-1,2016,1512
596185-1,3456,4608
756203-2,2304,1728
669618-2,4000,3000
980783-2,2080,1560
586937-2,2736,3648
1061966-0,1504,1128
2233227-0,2736,3648
762207-0,2016,1512
654827-1,2016,1512
2082911-2,2000,1500
632079-1,1488,1984
755952-2,4608,3456
810608-1,1496,2000
809439-2,4000,3000
869598-0,1224,1632
939067-0,1500,2000
2207926-1,2080,1560
766961-1,1464,1952
994158-1,2000,1500
669720-1,3456,4608
764235-2,2312,1734
671655-0,2016,1512
907187-2,1504,1128
810353-1,1728,1296
805689-0,2080,1560
870863-2,1728,2304
1418895-1,1560,2080
772787-1,2000,1500
654915-2,2304,1728
559264-1,3000,4000
1021655-0,3456,4608
1015478-1,1500,2000
881407-2,2016,1512
862080-0,2736,3648
864814-2,4608,3456
1014987-1,2048,1536
808142-0,2000,1500
